Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
305,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,2600,3000,2800,06 Aug 2024
306,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,2600,3000,2800,31 Aug 2024
307,Dharwad,Hubli (Amaragol),Potato,Potato,Local,1700,1900,1800,09 Jul 2025
308,Dharwad,Hubli (Amaragol),Potato,Potato,Ref grade-1,1000,2300,1600,04 Feb 2025
309,Kalburgi,Kalburgi,Potato,Potato,FAQ,1000,1200,1100,07 Jan 2025
310,Kalburgi,Kalburgi,Potato,Potato,FAQ,1000,1300,1150,03 May 2025
311,Kalburgi,Kalburgi,Potato,Potato,FAQ,1000,1300,1150,07 Dec 2024
312,Kalburgi,Kalburgi,Potato,Potato,FAQ,1000,1300,1150,28 Aug 2024
313,Kalburgi,Kalburgi,Potato,Potato,FAQ,1000,1400,1200,06 Nov 2024
314,Hassan,Arasikere,Potato,Local,FAQ,2000,2900,2900,30 Sep 2024
315,Chikmagalur,Bagepalli,Potato,Potato,FAQ,1000,2000,1500,15 Feb 2025
316,Chikmagalur,Bagepalli,Potato,Potato,FAQ,2000,2800,2400,09 Nov 2024
317,Chikmagalur,Bagepalli,Potato,Potato,FAQ,2500,3500,3300,30 Dec 2024
318,Bangalore,Bangalore,Potato,Local,FAQ,1400,1600,1500,20 Feb 2025
319,Bangalore,Bangalore,Potato,Local,FAQ,1600,3400,2800,10 Sep 2024
320,Bangalore,Bangalore,Potato,Local,FAQ,2000,2400,2200,24 Jan 2025
321,Bangalore,Bangalore,Potato,Local,FAQ,2000,2800,2400,31 Dec 2024
322,Bangalore,Bangalore,Potato,Local,FAQ,2400,3000,2700,03 Jan 2025
323,Bangalore,Bangalore,Potato,Local,FAQ,2600,3400,3000,03 Oct 2024
324,Bangalore,Bangalore,Potato,Local,FAQ,3600,4000,3800,15 Oct 2024
325,Bangalore,Bangalore,Potato,Potato,FAQ,1600,3000,2300,24 Dec 2024
326,Bangalore,Bangalore,Potato,Potato,FAQ,1800,2400,2100,27 Jan 2025
327,Bangalore,Bangalore,Potato,Potato,FAQ,2200,3000,2600,16 Aug 2024
328,Bangalore,Bangalore,Potato,Potato,FAQ,2400,3200,2800,20 Jan 2025
329,Bangalore,Bangalore,Potato,Potato,FAQ,2600,3000,2700,09 Oct 2024
330,Bangalore,Bangalore,Potato,Potato,FAQ,2600,3000,2700,10 Oct 2024
331,Bangalore,Bangalore,Potato,Potato,FAQ,3000,3600,3200,07 Jan 2025
332,Bangalore,Bangalore,Potato,Potato,FAQ,3000,3600,3300,01 Jan 2025
333,Kolar,Bangarpet,Potato,Local,FAQ,1500,2500,2000,24 Feb 2025
334,Kolar,Bangarpet,Potato,Local,FAQ,1500,3000,2300,17 Jan 2025
335,Kolar,Bangarpet,Potato,Local,Ref grade-1,1500,2500,1800,01 Feb 2025
336,Belgaum,Belgaum,Potato,Local,FAQ,1000,3500,3000,20 Nov 2024
337,Belgaum,Belgaum,Potato,Local,FAQ,1500,2500,2000,15 Jan 2025
338,Belgaum,Belgaum,Potato,Local,FAQ,2500,3100,2800,08 Aug 2024
339,Belgaum,Belgaum,Potato,Local,FAQ,2500,3600,3000,12 Sep 2024
340,Kolar,Chickkaballapura,Potato,Jalander,FAQ,1600,1800,1700,08 Nov 2024
341,Kolar,Chickkaballapura,Potato,Local,FAQ,500,2100,1800,31 May 2025
342,Kolar,Chickkaballapura,Potato,Local,FAQ,500,2200,1800,21 Jun 2025
343,Kolar,Chickkaballapura,Potato,Local,FAQ,500,2200,1800,24 Jun 2025
344,Kolar,Chickkaballapura,Potato,Local,FAQ,600,3000,2600,01 Jan 2025
345,Kolar,Chickkaballapura,Potato,Local,FAQ,600,3600,2600,03 Dec 2024
346,Kolar,Chickkaballapura,Potato,Local,FAQ,600,3600,2600,27 Nov 2024
347,Kolar,Chickkaballapura,Potato,Local,FAQ,2400,2600,2550,30 Sep 2024
348,Kolar,Chickkaballapura,Potato,Local,FAQ,2500,2600,2550,16 Sep 2024
349,Kolar,Chickkaballapura,Potato,Local,FAQ,2500,3000,2800,05 Nov 2024
350,Kolar,Chickkaballapura,Potato,Local,FAQ,3400,3600,3500,12 Oct 2024
351,Kolar,Chickkaballapura,Potato,Local,Local,1800,2200,2000,12 Jul 2025
352,Kolar,Chickkaballapura,Potato,Local,Ref grade-1,1800,2300,2000,02 Feb 2025
353,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,1805,2005,1905,18 Feb 2025
354,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,1861,2061,1961,19 Apr 2025
355,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,1878,2078,1978,05 Apr 2025
356,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,1900,2100,2000,15 Apr 2025
357,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2084,2084,2084,16 May 2025
358,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2084,2084,2084,29 May 2025
359,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2565,2565,2565,06 Feb 2025
360,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2678,2878,2778,11 Sep 2024
361,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2774,2974,2874,28 Nov 2024
362,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2892,3092,2992,08 Nov 2024
363,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2900,3100,3000,02 Sep 2024
364,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2904,3104,3004,26 Aug 2024
365,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,3031,3031,3031,30 Oct 2024
366,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2215,2415,2315,21 Feb 2025
367,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2567,2767,2667,04 Jan 2025
368,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2678,2878,2778,05 Nov 2024
369,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2757,2957,2857,19 Sep 2024
370,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2774,2974,2874,28 Aug 2024
371,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2791,2991,2891,20 Dec 2024
372,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2799,2999,2899,02 Dec 2024
373,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2828,3028,2928,12 Dec 2024
374,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2931,3131,3031,31 Jul 2024
375,Chikmagalur,Chikkamagalore,Potato,Other,Local,1861,2061,1961,05 Jul 2025
376,Davangere,Davangere,Potato,Potato,FAQ,1500,2000,1800,03 Jan 2025
377,Davangere,Davangere,Potato,Potato,FAQ,1500,2000,1800,04 Dec 2024
378,Davangere,Davangere,Potato,Potato,FAQ,1500,2000,1800,30 Jan 2025
379,Davangere,Davangere,Potato,Potato,FAQ,1600,2000,1800,05 Nov 2024
380,Davangere,Davangere,Potato,Potato,FAQ,1600,2000,1800,10 Oct 2024
381,Davangere,Davangere,Potato,Potato,FAQ,1600,2000,1800,24 Oct 2024
382,Davangere,Davangere,Potato,Potato,FAQ,1800,2400,2000,06 Aug 2024
383,Davangere,Davangere,Potato,Potato,FAQ,1800,2500,2000,09 Jan 2025
384,Davangere,Davangere,Potato,Potato,FAQ,2000,2500,2200,18 Jun 2025
385,Davangere,Davangere,Potato,Potato,FAQ,2000,2500,2260,21 May 2025
386,Davangere,Davangere,Potato,Potato,FAQ,2000,2500,2300,20 May 2025
387,Davangere,Davangere,Potato,Potato,Local,2000,2500,2200,21 Jul 2025
388,Davangere,Davangere,Potato,Potato,Local,2000,2800,2500,17 Jul 2025
389,Bangalore,Doddaballa Pur,Potato,Local,FAQ,2000,3000,2600,18 Feb 2025
390,Bangalore,Doddaballa Pur,Potato,Local,FAQ,2500,3000,2750,21 Oct 2024
391,Bangalore,Doddaballa Pur,Potato,Local,FAQ,2500,3100,2800,21 Sep 2024
392,Bangalore,Doddaballa Pur,Potato,Local,FAQ,2500,3400,3000,19 Sep 2024
393,Bangalore,Doddaballa Pur,Potato,Local,FAQ,2500,3500,3000,18 Oct 2024
394,Hassan,Hassan,Potato,Potato,FAQ,900,1800,1100,12 Mar 2025
395,Hassan,Hassan,Potato,Potato,Local,600,1300,1200,31 Jul 2025
396,Hassan,Hassan,Potato,Potato,Local,1000,1600,1200,29 Jul 2025
397,Dharwad,Hubli (Amaragol),Potato,Other,FAQ,1600,2000,1800,29 Jan 2025
398,Dharwad,Hubli (Amaragol),Potato,Other,FAQ,1600,2500,2000,23 Sep 2024
399,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1000,1500,1250,13 Feb 2025
400,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1000,1700,1400,28 Feb 2025
401,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1500,2000,1600,28 Jun 2025
402,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1600,3000,2200,17 Dec 2024
403,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1700,1800,1750,01 Jan 2025
404,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1700,1900,1800,25 Apr 2025
405,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1700,2400,2000,26 Nov 2024
406,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1800,2600,2200,24 Dec 2024
407,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,2000,2300,2150,15 Jan 2025
408,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,2200,2800,2500,29 Oct 2024
409,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,2200,2800,2500,30 Oct 2024
410,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,2500,2800,2650,22 Aug 2024
411,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,2600,3000,2800,23 Oct 2024
412,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,2600,3100,2800,13 Sep 2024
413,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,2900,3100,3000,31 Jul 2024
414,Dharwad,Hubli (Amaragol),Potato,Potato,Local,1600,1750,1650,11 Jul 2025
415,Dharwad,Hubli (Amaragol),Potato,Potato,Ref grade-1,1500,2200,1800,05 Feb 2025
416,Mysore,K.R.Nagar,Potato,Chandermukhi,FAQ,2307,2307,2307,23 Sep 2024
417,Hassan,Arasikere,Potato,Local,FAQ,1000,3000,3000,12 Aug 2024
418,Hassan,Arasikere,Potato,Local,FAQ,2000,3000,2000,27 Jan 2025
419,Hassan,Arasikere,Potato,Local,FAQ,3000,3000,3000,19 Nov 2024
420,Hassan,Arasikere,Potato,Local,Ref grade-1,2500,3000,2500,01 Feb 2025
421,Chikmagalur,Bagepalli,Potato,Potato,FAQ,2000,3000,2600,03 Jan 2025
422,Chikmagalur,Bagepalli,Potato,Potato,FAQ,2000,3500,3000,18 Nov 2024
423,Chikmagalur,Bagepalli,Potato,Potato,FAQ,2200,3500,2550,22 Dec 2024
424,Chikmagalur,Bagepalli,Potato,Potato,FAQ,2200,3500,2600,14 Dec 2024
425,Chikmagalur,Bagepalli,Potato,Potato,FAQ,2200,3500,2800,09 Dec 2024
426,Bangalore,Bangalore,Potato,Local,FAQ,1600,2800,2200,20 Aug 2024
427,Bangalore,Bangalore,Potato,Local,FAQ,2400,3400,2900,03 Dec 2024
428,Bangalore,Bangalore,Potato,Local,FAQ,3400,3600,3500,02 Aug 2024
429,Bangalore,Bangalore,Potato,Local,Ref grade-1,1600,2200,1900,04 Feb 2025
430,Bangalore,Bangalore,Potato,Potato,FAQ,1600,2000,1800,30 Jan 2025
431,Bangalore,Bangalore,Potato,Potato,FAQ,2400,3000,2700,23 Sep 2024
432,Bangalore,Bangalore,Potato,Potato,FAQ,2400,3200,2800,15 Jan 2025
433,Bangalore,Bangalore,Potato,Potato,FAQ,2600,3000,2800,27 Sep 2024
434,Bangalore,Bangalore,Potato,Potato,FAQ,2600,3200,2900,23 Aug 2024
435,Bangalore,Bangalore,Potato,Potato,FAQ,3000,3600,3300,03 Jan 2025
436,Bangalore,Bangalore,Potato,Potato,FAQ,4000,6000,5000,06 Dec 2024
437,Bangalore,Bangalore,Potato,Potato,FAQ,4000,6000,5000,07 Dec 2024
438,Bangalore,Bangalore,Potato,Potato,Ref grade-1,1600,2000,1800,31 Jan 2025
439,Kolar,Bangarpet,Potato,Local,FAQ,1000,2000,1500,18 Feb 2025
440,Kolar,Bangarpet,Potato,Local,FAQ,1500,2500,1800,25 Feb 2025
441,Belgaum,Belgaum,Potato,Local,FAQ,1000,2500,2000,02 Jan 2025
442,Belgaum,Belgaum,Potato,Local,FAQ,1000,3000,2500,18 Sep 2024
443,Belgaum,Belgaum,Potato,Local,FAQ,1500,2200,1800,14 Feb 2025
444,Belgaum,Belgaum,Potato,Local,FAQ,1500,2200,1800,20 Feb 2025
445,Belgaum,Belgaum,Potato,Local,FAQ,1500,2500,2000,16 Dec 2024
446,Belgaum,Belgaum,Potato,Local,FAQ,1500,2500,2000,20 Dec 2024
447,Belgaum,Belgaum,Potato,Local,FAQ,1500,2500,2000,22 Jan 2025
448,Belgaum,Belgaum,Potato,Local,FAQ,2000,3200,2500,06 Sep 2024
449,Belgaum,Belgaum,Potato,Local,FAQ,2500,3100,2800,13 Aug 2024
450,Belgaum,Belgaum,Potato,Local,FAQ,2500,3100,2800,31 Jul 2024
451,Belgaum,Belgaum,Potato,Local,FAQ,2500,3200,2800,03 Sep 2024
452,Belgaum,Belgaum,Potato,Local,FAQ,2500,4000,3500,22 Oct 2024
453,Kolar,Chickkaballapura,Potato,Jalander,FAQ,1600,1800,1700,02 Oct 2024
454,Kolar,Chickkaballapura,Potato,Local,FAQ,600,2600,2000,22 Dec 2024
455,Kolar,Chickkaballapura,Potato,Local,FAQ,600,3000,2500,01 Dec 2024
456,Kolar,Chickkaballapura,Potato,Local,FAQ,600,3000,2500,08 Nov 2024
457,Kolar,Chickkaballapura,Potato,Local,FAQ,600,3000,2500,15 Dec 2024
458,Kolar,Chickkaballapura,Potato,Local,FAQ,600,3000,2600,19 Jan 2025
459,Kolar,Chickkaballapura,Potato,Local,FAQ,600,3000,2600,20 Jan 2025
460,Kolar,Chickkaballapura,Potato,Local,FAQ,600,3200,3000,13 Nov 2024
461,Kolar,Chickkaballapura,Potato,Local,FAQ,2400,2600,2500,13 Oct 2024
462,Kolar,Chickkaballapura,Potato,Local,FAQ,3400,4000,3800,20 Oct 2024
463,Kolar,Chickkaballapura,Potato,Local,FAQ,3400,4000,3800,23 Oct 2024
464,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,1900,2100,2000,23 Jun 2025
465,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,1907,2107,2007,12 May 2025
466,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2028,2228,2128,24 Jun 2025
467,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2084,2084,2084,03 May 2025
468,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2084,2084,2084,25 Apr 2025
469,Kolar,Gowribidanoor,Potato,Potato,FAQ,1500,2000,1800,31 Mar 2025
470,Hassan,Hassan,Potato,Potato,FAQ,800,1600,1400,24 Feb 2025
471,Hassan,Hassan,Potato,Potato,FAQ,900,1600,1000,19 Jun 2025
472,Hassan,Hassan,Potato,Potato,Local,900,2400,1400,17 Jul 2025
473,Dharwad,Hubli (Amaragol),Potato,Local,FAQ,1200,2000,1500,03 Apr 2025
474,Dharwad,Hubli (Amaragol),Potato,Other,FAQ,700,2000,1300,20 Dec 2024
475,Dharwad,Hubli (Amaragol),Potato,Other,FAQ,1100,2800,2000,19 Sep 2024
476,Dharwad,Hubli (Amaragol),Potato,Other,FAQ,1600,2200,2100,12 Feb 2025
477,Dharwad,Hubli (Amaragol),Potato,Other,FAQ,1700,1900,1800,27 Jan 2025
478,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,400,2200,1600,24 Jan 2025
479,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,500,1900,1650,12 May 2025
480,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1000,2300,1700,21 Jan 2025
481,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1200,2000,1400,24 Apr 2025
482,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1600,1800,1700,23 Jun 2025
483,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1600,1900,1700,18 Jun 2025
484,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1600,2500,2000,23 Dec 2024
485,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1800,1900,1850,09 Jun 2025
486,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1800,2300,2100,25 Jan 2025
487,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,2000,2800,2400,13 Dec 2024
488,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,2000,2800,2400,18 Oct 2024
489,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,2500,2800,2600,09 Dec 2024
490,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,2500,2900,2700,01 Oct 2024
491,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,2500,3100,2800,05 Sep 2024
492,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,2600,2700,2650,06 Dec 2024
493,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,2600,2700,2650,07 Dec 2024
494,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,2800,2900,2850,30 Sep 2024
495,Kalburgi,Kalburgi,Potato,Potato,FAQ,1000,1200,1100,01 Aug 2024
496,Kalburgi,Kalburgi,Potato,Potato,FAQ,1000,1200,1100,17 Dec 2024
497,Kalburgi,Kalburgi,Potato,Potato,FAQ,1000,1300,1150,21 Aug 2024
498,Kalburgi,Kalburgi,Potato,Potato,FAQ,1000,1400,1200,01 Jan 2025
499,Kalburgi,Kalburgi,Potato,Potato,FAQ,1000,1400,1200,17 Mar 2025
500,Kalburgi,Kalburgi,Potato,Potato,FAQ,1100,1400,1250,31 Jul 2024
501,Kalburgi,Kalburgi,Potato,Potato,Local,700,1300,1000,08 Jul 2025
502,Kalburgi,Kalburgi,Potato,Potato,Local,800,1200,1000,14 Jul 2025
503,Kalburgi,Kalburgi,Potato,Potato,Local,800,1400,1100,07 Jul 2025
504,Kalburgi,Kalburgi,Potato,Potato,Local,900,1400,1150,02 Jul 2025
505,Kolar,Kolar,Potato,Local,FAQ,1000,2000,1400,06 May 2025
506,Kolar,Kolar,Potato,Local,FAQ,1000,2200,2000,02 Oct 2024
507,Kolar,Kolar,Potato,Local,FAQ,1500,2000,1700,03 Sep 2024
508,Kolar,Kolar,Potato,Local,FAQ,1500,2000,1800,06 Feb 2025
509,Kolar,Kolar,Potato,Local,FAQ,1500,2000,1800,21 May 2025
510,Kolar,Kolar,Potato,Local,FAQ,1500,2500,2000,18 Aug 2024
511,Kolar,Kolar,Potato,Local,FAQ,1500,2500,2000,18 Feb 2025
512,Kolar,Kolar,Potato,Local,FAQ,1500,2500,2300,30 Sep 2024
513,Kolar,Kolar,Potato,Local,FAQ,1500,3000,2400,17 Dec 2024
514,Kolar,Kolar,Potato,Local,FAQ,2000,3000,2400,22 Dec 2024
515,Kolar,Malur,Potato,Potato,FAQ,1800,2200,2000,12 Feb 2025
516,Kolar,Malur,Potato,Potato,FAQ,3000,3500,3200,31 Aug 2024
517,Kolar,Malur,Potato,Potato,FAQ,3000,4000,3125,05 Dec 2024
518,Kolar,Malur,Potato,Potato,FAQ,3500,4500,4165,07 Dec 2024
519,Kolar,Malur,Potato,Potato,FAQ,3500,5000,4166,06 Sep 2024
520,Mysore,Mysore (Bandipalya),Potato,Potato,FAQ,1600,1900,1800,10 Apr 2025
521,Mysore,Mysore (Bandipalya),Potato,Potato,FAQ,1800,2200,2000,25 Jan 2025
522,Kalburgi,Kalburgi,Potato,Potato,FAQ,1000,1400,1200,09 Apr 2025
523,Kalburgi,Kalburgi,Potato,Potato,FAQ,1000,1400,1200,22 Mar 2025
524,Kalburgi,Kalburgi,Potato,Potato,FAQ,1000,1600,1300,17 May 2025
525,Kalburgi,Kalburgi,Potato,Potato,FAQ,1100,1300,1200,10 Oct 2024
526,Kalburgi,Kalburgi,Potato,Potato,FAQ,1100,1300,1200,13 Dec 2024
527,Kalburgi,Kalburgi,Potato,Potato,FAQ,1100,1300,1200,18 Dec 2024
528,Kalburgi,Kalburgi,Potato,Potato,FAQ,1200,1400,1300,12 Feb 2025
529,Kalburgi,Kalburgi,Potato,Potato,Local,800,1200,1000,11 Jul 2025
530,Kalburgi,Kalburgi,Potato,Potato,Local,1000,1400,1200,26 Jul 2025
531,Kolar,Kolar,Potato,Local,FAQ,1000,1500,1300,10 Apr 2025
532,Kolar,Kolar,Potato,Local,FAQ,1000,1500,1300,13 Apr 2025
533,Kolar,Kolar,Potato,Local,FAQ,1000,1500,1300,14 Apr 2025
534,Kolar,Kolar,Potato,Local,FAQ,1000,2000,1500,19 Aug 2024
535,Kolar,Kolar,Potato,Local,FAQ,1000,2000,1800,08 Jun 2025
536,Kolar,Kolar,Potato,Local,FAQ,1000,3000,2600,09 Dec 2024
537,Kolar,Kolar,Potato,Local,FAQ,1200,2000,1700,09 Sep 2024
538,Kolar,Kolar,Potato,Local,FAQ,1500,1700,1600,12 Mar 2025
539,Kolar,Kolar,Potato,Local,FAQ,1500,2000,1700,28 Aug 2024
540,Kolar,Kolar,Potato,Local,FAQ,1500,2200,2000,07 Feb 2025
541,Kolar,Kolar,Potato,Local,FAQ,1500,2200,2000,18 Oct 2024
542,Kolar,Kolar,Potato,Local,FAQ,1500,2500,2000,26 Sep 2024
543,Kolar,Kolar,Potato,Local,FAQ,1500,3000,2300,16 Jan 2025
544,Kolar,Kolar,Potato,Local,FAQ,1500,3000,2600,01 Dec 2024
545,Kolar,Kolar,Potato,Local,Local,1500,2000,1700,17 Jul 2025
546,Kolar,Kolar,Potato,Local,Local,1500,2000,1800,04 Jul 2025
547,Kolar,Malur,Potato,Potato,FAQ,1800,2200,2000,11 Feb 2025
548,Kolar,Malur,Potato,Potato,FAQ,1800,2200,2000,17 Feb 2025
549,Kolar,Malur,Potato,Potato,FAQ,1800,2200,2000,20 Feb 2025
550,Kolar,Malur,Potato,Potato,FAQ,1800,2200,2020,14 Feb 2025
551,Mysore,Mysore (Bandipalya),Potato,Potato,FAQ,1000,1600,1200,18 Apr 2025
552,Mysore,Mysore (Bandipalya),Potato,Potato,FAQ,1500,2000,1900,27 Feb 2025
553,Mysore,Mysore (Bandipalya),Potato,Potato,FAQ,2000,2500,2100,28 Feb 2025
554,Mysore,Nanjangud,Potato,Potato,FAQ,2564,3030,2777,13 Jan 2025
555,Mysore,Nanjangud,Potato,Potato,FAQ,3030,3703,3333,19 Feb 2025
556,Mysore,Nanjangud,Potato,Potato,FAQ,3703,4762,4167,10 Jan 2025
557,Bangalore,Ramanagara,Potato,Potato,Local,2400,3000,2800,23 Jul 2025
558,Shimoga,Shimoga,Potato,Local,FAQ,2500,3000,2700,08 May 2025
559,Shimoga,Shimoga,Potato,Local,FAQ,2500,3000,2700,24 Jun 2025
560,Shimoga,Shimoga,Potato,Local,FAQ,2500,3000,2800,07 Apr 2025
561,Shimoga,Shimoga,Potato,Local,FAQ,2500,3000,2800,09 Apr 2025
562,Shimoga,Shimoga,Potato,Local,FAQ,2500,3000,2800,17 Jun 2025
563,Shimoga,Shimoga,Potato,Local,FAQ,2500,4000,3000,13 Jan 2025
564,Shimoga,Shimoga,Potato,Local,FAQ,3000,4000,3500,14 Feb 2025
565,Shimoga,Shimoga,Potato,Local,FAQ,3000,4000,3500,19 Feb 2025
566,Shimoga,Shimoga,Potato,Local,FAQ,3000,4000,3500,27 Jan 2025
567,Shimoga,Shimoga,Potato,Local,FAQ,3500,4000,3700,20 Dec 2024
568,Shimoga,Shimoga,Potato,Local,FAQ,3500,4000,3750,05 Aug 2024
569,Shimoga,Shimoga,Potato,Local,FAQ,3500,4000,3800,03 Oct 2024
570,Shimoga,Shimoga,Potato,Local,FAQ,3500,4000,3800,23 Aug 2024
571,Shimoga,Shimoga,Potato,Local,Local,2500,3000,2700,30 Jul 2025
572,Udupi,Udupi,Potato,Potato,FAQ,1500,1600,1600,30 May 2025
573,Udupi,Udupi,Potato,Potato,FAQ,1800,2000,1900,07 Apr 2025
574,Udupi,Udupi,Potato,Potato,FAQ,2100,2200,2200,17 May 2025
575,Udupi,Udupi,Potato,Potato,FAQ,2100,2200,2200,27 Feb 2025
576,Udupi,Udupi,Potato,Potato,FAQ,2100,2500,2200,21 Apr 2025
577,Chikmagalur,Chikkamagalore,Potato,Other,Local,1852,1852,1852,23 Jul 2025
578,Chikmagalur,Chikkamagalore,Potato,Other,Local,1984,2184,2084,03 Jul 2025
579,Chikmagalur,Chikkamagalore,Potato,Other,Local,2144,2344,2244,16 Jul 2025
580,Chikmagalur,Chikkamagalore,Potato,Other,Local,2281,2481,2381,01 Jul 2025
581,Davangere,Davangere,Potato,Potato,FAQ,1600,2000,1800,07 Jan 2025
582,Davangere,Davangere,Potato,Potato,FAQ,1600,2000,1800,29 Jan 2025
583,Davangere,Davangere,Potato,Potato,FAQ,1800,2200,2000,08 Aug 2024
584,Davangere,Davangere,Potato,Potato,FAQ,1800,2200,2000,08 Oct 2024
585,Davangere,Davangere,Potato,Potato,FAQ,1800,2500,2000,17 Jun 2025
586,Davangere,Davangere,Potato,Potato,FAQ,1800,2500,2200,10 Jun 2025
587,Davangere,Davangere,Potato,Potato,FAQ,2000,2500,2200,05 Sep 2024
588,Davangere,Davangere,Potato,Potato,FAQ,2000,2500,2200,27 Feb 2025
589,Davangere,Davangere,Potato,Potato,FAQ,2000,2500,2200,27 Mar 2025
590,Davangere,Davangere,Potato,Potato,Local,2000,2500,2200,01 Jul 2025
591,Davangere,Davangere,Potato,Potato,Local,2000,2800,2500,24 Jul 2025
592,Bangalore,Doddaballa Pur,Potato,Local,FAQ,2500,3000,2800,04 Nov 2024
593,Bangalore,Doddaballa Pur,Potato,Local,FAQ,2500,3100,2800,10 Sep 2024
594,Chamrajnagar,Gundlupet,Potato,Potato,FAQ,1500,1500,1500,29 Jan 2025
595,Hassan,Hassan,Potato,Potato,FAQ,900,2000,1800,29 Aug 2024
596,Hassan,Hassan,Potato,Potato,FAQ,1100,1600,1300,12 Sep 2024
597,Hassan,Hassan,Potato,Potato,Local,1179,1900,1800,22 Jul 2025
598,Dharwad,Hubli (Amaragol),Potato,Other,FAQ,2000,2200,2100,28 Oct 2024
599,Dharwad,Hubli (Amaragol),Potato,Other,Local,1300,1700,1500,18 Jul 2025
600,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1000,2300,1650,20 Dec 2024
601,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1100,2100,1500,07 Feb 2025
602,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1200,1800,1500,20 Feb 2025
603,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1200,2000,1600,27 Feb 2025
604,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1500,1800,1600,28 Apr 2025
605,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1500,1800,1650,07 May 2025
606,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1500,2200,1800,07 Jan 2025
607,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1500,3000,2400,29 Aug 2024
608,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1600,1800,1700,29 May 2025
